영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,장르2,등급_le,관람객수_le,계절_le,계절,관객수_등급,장르_le
포커페이스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023,3,51.0,810.0,범죄,15세이상관람가,4.27,3.5,3.885,4,1,739,0,1,2,4
여섯 개의 밤,㈜인디스토리,2023,3,34.0,696.0,드라마,12세이상관람가,8.09,5.75,6.92,2,0,654,0,1,2,2
컨버세이션,필름다빈,2023,2,21.0,634.0,기타,12세이상관람가,7.169999999999999,7.0,7.084999999999999,16,0,600,3,4,2,16
프로메어,(주)영화사 그램,2022,10,63.0,602.0,애니메이션,15세이상관람가,8.61,6.0,7.305,0,1,575,2,3,2,0
나의 연인에게,(주)까멜리아이엔티,2023,3,26.0,593.0,드라마,15세이상관람가,6.4,6.33,6.365,2,1,567,0,1,2,2
라스트 버스,주식회사 블루필름웍스,2023,2,27.0,524.0,드라마,12세이상관람가,7.92,5.0,6.46,2,0,520,3,4,2,2
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022,2,836.0,499.0,애니메이션,15세이상관람가,8.91,6.0,7.455,0,1,496,3,4,2,0
성스러운 거미,판씨네마(주),2023,2,56.0,482.0,범죄,청소년관람불가,7.94,7.0,7.470000000000001,4,3,480,3,4,2,4
헤어질 결심,(주)씨제이이엔엠,2022,6,63.0,476.0,미스터리,15세이상관람가,8.98,8.73,8.855,9,1,475,1,2,2,9
"블루 서멀, 같은 하늘을 보고 싶어",(주)박수엔터테인먼트,2023,3,62.0,325.0,애니메이션,전체관람가,7.0,5.0,6.0,0,2,335,0,1,2,0
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022,9,16.0,324.0,애니메이션,전체관람가,8.113118279569893,5.805714285714285,6.9594162826420884,0,2,334,2,3,2,0
교섭,플러스엠 엔터테인먼트,2023,1,63.0,277.0,드라마,12세이상관람가,7.819929577464789,6.5,7.1599647887323945,2,0,284,3,4,2,2
유령,(주)씨제이이엔엠,2023,1,63.0,266.0,액션,15세이상관람가,6.87,6.25,6.5600000000000005,1,1,274,3,4,1,1
블라스트: 폭탄제거반,주식회사 풍경소리,2023,3,5.0,264.0,액션,12세이상관람가,4.0,5.718909090909091,4.859454545454545,1,0,272,0,1,1,1
페르시아어 수업,(주)영화사 진진,2022,12,40.0,260.0,드라마,15세이상관람가,8.23,6.33,7.28,2,1,267,3,4,1,2
단순한 열정,(주)영화사 진진,2023,2,31.0,254.0,드라마,청소년관람불가,6.06,2.0,4.029999999999999,2,3,262,3,4,1,2
스위치,롯데컬처웍스(주)롯데엔터테인먼트,2023,1,912.0,200.0,기타,12세이상관람가,7.74,5.4,6.57,16,0,209,3,4,1,16
엄마의 땅: 그리샤와 숲의 주인,(주)더쿱디스트리뷰션,2023,1,121.0,168.0,애니메이션,전체관람가,8.88,6.5,7.69,0,2,177,3,4,1,0
피터 본 칸트,(주)드림팩트엔터테인먼트,2023,2,29.0,167.0,멜로/로맨스,15세이상관람가,7.44,7.0,7.220000000000001,3,1,176,3,4,1,3
기예르모 델토로의 피노키오,씨제이 씨지브이(CJ CGV)(주),2022,11,57.0,154.0,애니메이션,전체관람가,8.13,7.33,7.73,0,2,160,2,3,1,0
이마 베프,(주)무비다이브,2023,2,45.0,136.0,코미디,15세이상관람가,7.39,8.0,7.695,6,1,141,3,4,1,6
양자경의 더 모든 날 모든 순간,워터홀컴퍼니(주),2022,11,63.0,102.0,액션,15세이상관람가,9.13,5.090909090909091,7.110454545454546,1,1,105,2,3,1,1
트윈,(주)스튜디오디에이치엘,2023,2,168.0,96.0,공포(호러),15세이상관람가,5.72,4.67,5.195,5,1,99,3,4,1,5
살수,"TCO(주)더콘텐츠온,와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023,2,188.0,94.0,액션,15세이상관람가,4.25,4.33,4.29,1,1,97,3,4,1,1
수프와 이데올로기,(주)엣나인필름,2022,10,45.0,89.0,다큐멘터리,12세이상관람가,8.88,6.33,7.605,8,0,92,2,3,1,8
민족,주식회사 씨엠닉스,2023,3,4.0,79.0,드라마,12세이상관람가,7.0,6.0,6.5,2,0,82,0,1,1,2
여기도 사람 있어요,김충길 필름,2023,3,2.0,74.0,드라마,12세이상관람가,7.75,6.230652173913044,6.990326086956522,2,0,77,0,1,1,2
메모리아,찬란,2022,12,42.0,72.0,드라마,12세이상관람가,7.3,8.17,7.734999999999999,2,0,75,3,4,1,2
궁지에 몰린 쥐는 치즈 꿈을 꾼다,홀리가든,2023,2,66.0,70.0,드라마,청소년관람불가,6.63,4.5,5.5649999999999995,2,3,72,3,4,1,2
스톰 보이,주식회사 블루필름웍스,2023,2,44.0,69.0,가족,전체관람가,7.14,6.0,6.57,11,2,71,3,4,1,11
본즈 앤 올,워너브러더스 코리아(주),2022,11,356.0,68.0,공포(호러),청소년관람불가,8.02,8.2,8.11,5,3,70,2,3,1,5
이태석,"THE 픽쳐스,주식회사 블루필름웍스",2022,12,100.0,60.0,다큐멘터리,전체관람가,9.29,4.0,6.645,8,2,61,3,4,1,8
나의 이웃 히틀러,주식회사 루믹스미디어,2023,3,5.0,52.0,코미디,12세이상관람가,9.04,4.3133333333333335,6.676666666666666,6,0,52,0,1,1,6
카메라를 멈추면 안 돼! 프랑스에서도,"(주)까멜리아이엔티,주식회사 제이씨엔터웍스",2023,2,44.0,46.0,코미디,15세이상관람가,7.35,6.0,6.675,6,1,46,3,4,1,6
무한궤도 (가면속의 거짓말),스마일픽쳐스,2023,3,1.0,44.0,범죄,15세이상관람가,8.0,5.238421052631579,6.61921052631579,4,1,44,0,1,1,4
나는 마을 방과후 교사입니다,(주)스튜디오그레인풀,2023,1,23.0,42.0,다큐멘터리,전체관람가,8.81,6.75,7.78,8,2,42,3,4,1,8
천룡팔부: 교봉전,(주)팝엔터테인먼트,2023,1,300.0,41.0,액션,15세이상관람가,7.25,5.0,6.125,1,1,41,3,4,1,1
"열여덟, 어른이 되는 나이",필름다빈,2023,1,34.0,29.0,드라마,12세이상관람가,7.0,5.33,6.165,2,0,29,3,4,1,2
관계의 일변,주식회사 씨엠닉스,2023,2,4.0,26.0,드라마,15세이상관람가,4.9,6.139316239316239,5.51965811965812,2,1,26,3,4,1,2
극장판 카케구루이2: 절체절명의 러시안 룰렛,(주)미디어캐슬,2023,2,5.0,20.0,스릴러,15세이상관람가,6.22,5.708571428571429,5.964285714285714,7,1,20,3,4,1,7
극장판 뽀로로와 친구들: 바이러스를 없애줘!,(주)넥스트엔터테인먼트월드(NEW),2022,12,380.0,18.0,애니메이션,전체관람가,8.43,5.8354,7.1327,0,2,18,3,4,1,0
우리 사랑이 향기로 남을 때,"주식회사 콘텐츠존,(주)다자인소프트",2023,2,173.0,18.0,멜로/로맨스,15세이상관람가,6.69,4.0,5.345000000000001,3,1,18,3,4,1,3
사랑할 땐 누구나 최악이 된다,"그린나래미디어(주),(주)하이스트레인저",2022,8,68.0,17.0,멜로/로맨스,15세이상관람가,7.8,8.0,7.9,3,1,17,1,2,1,3
시몬,(주)콘텐트마인,2023,2,5.0,15.0,멜로/로맨스,청소년관람불가,7.380857142857143,5.75,6.565428571428571,3,3,14,3,4,1,3
탑,"(주)영화제작전원사 ,(주)콘텐츠판다",2022,11,57.0,15.0,드라마,15세이상관람가,7.806105263157895,8.5,8.153052631578948,2,1,14,2,3,1,2
가가린,(주)엣나인필름,2022,12,41.0,14.0,SF,12세이상관람가,7.75,7.0,7.375,13,0,13,3,4,1,13
겨울 이야기,"와이드 릴리즈(주),시네마 뉴원",2023,1,22.0,10.0,드라마,전체관람가,7.71,4.5,6.105,2,2,9,3,4,1,2
시간을 꿈꾸는 소녀,"(주)하이하버픽쳐스,(주)영화사 진진",2023,1,77.0,9.0,다큐멘터리,12세이상관람가,8.29046511627907,5.67,6.980232558139535,8,0,8,3,4,1,8
같은 속옷을 입는 두 여자,찬란,2022,11,53.0,8.0,드라마,15세이상관람가,7.93,8.0,7.965,2,1,7,2,3,1,2
더 벙커,(주)엔케이컨텐츠,2023,3,1.0,8.0,액션,15세이상관람가,6.574032258064515,6.83,6.702016129032257,1,1,7,0,1,1,1
서유기:저팔계의 반란,초코필름,2023,3,1.0,8.0,판타지,15세이상관람가,10.0,4.65,7.325,10,1,7,0,1,1,10
이스케이프: 더블 타겟,주식회사 루믹스미디어,2023,3,1.0,8.0,액션,12세이상관람가,4.8,5.718909090909091,5.259454545454545,1,0,7,0,1,1,1
희수,영화사 정원,2022,12,5.0,8.0,드라마,12세이상관람가,8.29,7.0,7.645,2,0,7,3,4,1,2
라인,M&M 인터내셔널,2023,1,47.0,6.0,드라마,15세이상관람가,7.819929577464789,6.5,7.1599647887323945,2,1,5,3,4,1,2
베리얼: 라스트 미션,(주)누리픽쳐스,2023,3,1.0,1.0,전쟁,15세이상관람가,0.0,5.3,2.65,12,1,0,0,1,1,12
스즈메의 문단속,(주)쇼박스,2023,3,63.0,17394.171875,애니메이션,12세이상관람가,8.45,7.6,8.024999999999999,0,0,1683,0,1,3,0
존 윅 4,(주)레드아이스 엔터테인먼트,2023,4,63.0,269801.28125,액션,청소년관람불가,8.31,7.5,7.905,1,3,1998,0,1,3,1
슈퍼 마리오 브라더스,유니버설픽쳐스인터내셔널 코리아(유),2023,4,63.0,70701.390625,애니메이션,전체관람가,8.35,6.0,7.175,0,2,1888,0,1,3,0
리바운드,(주)바른손이앤에이,2023,4,63.0,8813.1640625,드라마,12세이상관람가,8.31,6.8,7.555,2,0,1537,0,1,3,2
드림,플러스엠 엔터테인먼트,2023,4,63.0,62.79999923706055,코미디,12세이상관람가,6.79,5.2,5.995,6,0,64,0,1,1,6
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023,1,63.0,90301.8671875,애니메이션,12세이상관람가,9.25,7.67,8.46,0,0,1911,3,4,3,0
던전 앤 드래곤: 도적들의 명예,롯데컬처웍스(주)롯데엔터테인먼트,2023,3,63.0,26405.654296875,액션,12세이상관람가,8.22,6.67,7.445,1,0,1761,0,1,3,1
킬링 로맨스,롯데컬처웍스(주)롯데엔터테인먼트,2023,4,998.0,62.79999923706055,코미디,15세이상관람가,7.63,5.0,6.3149999999999995,6,1,64,0,1,1,6
옥수역귀신,(주)스마일이엔티,2023,4,314.0,21902.400390625,공포(호러),15세이상관람가,6.71,4.75,5.73,5,1,1735,0,1,3,5
에어,워너브러더스 코리아(주),2023,4,656.0,8813.1640625,드라마,15세이상관람가,8.72,5.33,7.025,2,1,1537,0,1,3,2
웅남이,씨제이 씨지브이(CJ CGV)(주),2023,3,829.0,732.5454711914062,코미디,15세이상관람가,7.63,3.33,5.48,6,1,683,0,1,2,6
렌필드,유니버설픽쳐스인터내셔널 코리아(유),2023,4,577.0,62.79999923706055,코미디,청소년관람불가,7.35,6.0,6.675,6,3,64,0,1,1,6
거울 속 외딴 성,워터홀컴퍼니(주),2023,4,335.0,70701.390625,애니메이션,12세이상관람가,8.53,6.2,7.365,0,0,1888,0,1,3,0
소울메이트,(주)넥스트엔터테인먼트월드(NEW),2023,3,749.0,14473.5244140625,드라마,12세이상관람가,7.97,6.0,6.984999999999999,2,0,1643,0,1,3,2
파벨만스,(주)씨제이이엔엠,2023,3,450.0,14473.5244140625,드라마,12세이상관람가,8.81,8.88,8.845,2,0,1643,0,1,3,2
치킨래빗: 잃어버린 보물을 찾아서,(주)스튜디오디에이치엘,2023,3,234.0,17394.171875,애니메이션,전체관람가,7.82,6.0,6.91,0,2,1683,0,1,3,0
오토라는 남자,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,3,371.0,14473.5244140625,드라마,12세이상관람가,8.24,6.0,7.12,2,0,1643,0,1,3,2
카구야 님은 고백받고 싶어 첫 키스는 끝나지 않아,(주)디스테이션,2023,4,107.0,70701.390625,애니메이션,12세이상관람가,8.46,6.168611111111111,7.314305555555556,0,0,1888,0,1,3,0
라이스보이 슬립스,판씨네마(주),2023,4,250.0,155.0,가족,15세이상관람가,8.28,6.25,7.265,11,1,161,0,1,1,11
멍뭉이,(주)키다리스튜디오,2023,3,649.0,14473.5244140625,드라마,전체관람가,8.13,5.0,6.565,2,2,1643,0,1,3,2
무명,(주)콘텐츠판다,2023,4,201.0,46486.28515625,스릴러,15세이상관람가,7.67,6.0,6.835,7,1,1853,0,1,3,7
아임 히어로 더 파이널,"씨제이포디플렉스 주식회사,CGV ICECON",2023,3,146.0,3687.533447265625,공연,전체관람가,9.84,10.0,9.92,14,2,1269,0,1,2,14
오글리스: 웰컴 투 냄새 마을,(주)박수엔터테인먼트,2023,4,256.0,70701.390625,애니메이션,전체관람가,6.82,6.0,6.41,0,2,1888,0,1,3,0
65,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,4,462.0,269801.28125,액션,12세이상관람가,5.59,4.0,4.795,1,0,1998,0,1,3,1
에브리씽 에브리웨어 올 앳 원스+,워터홀컴퍼니(주),2023,3,199.0,26405.654296875,액션,15세이상관람가,8.91,8.43,8.67,1,1,1761,0,1,3,1
곰돌이 푸: 피와 꿀,(주)팝엔터테인먼트,2023,4,189.0,21902.400390625,공포(호러),청소년관람불가,4.6,0.5,2.55,5,3,1735,0,1,3,5
아머드 사우루스: 기계공룡제국의 침략,트윈플러스파트너스(주),2023,4,236.0,70701.390625,애니메이션,전체관람가,9.04,5.0,7.02,0,2,1888,0,1,3,0
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",(주)디스테이션,2023,3,410.0,17394.171875,애니메이션,15세이상관람가,6.76,6.430892857142857,6.595446428571428,0,1,1683,0,1,3,0
엘 카미노,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2023,3,34.0,306.4230651855469,다큐멘터리,전체관람가,8.392903225806451,6.236206896551724,7.314555061179087,8,2,316,0,1,2,8
항구의 니쿠코짱!,트윈플러스파트너스(주),2023,4,123.0,70701.390625,애니메이션,전체관람가,8.0,6.5,7.25,0,2,1888,0,1,3,0
오디션,와이드 릴리즈(주),2023,4,122.0,21902.400390625,공포(호러),청소년관람불가,6.33,7.0,6.665,5,3,1735,0,1,3,5
장기자랑,(주)영화사 진진,2023,4,57.0,2159.7333984375,다큐멘터리,12세이상관람가,8.37,6.67,7.52,8,0,1108,0,1,2,8
나는 여기에 있다,와이드 릴리즈(주),2023,4,122.0,11991.0,범죄,15세이상관람가,5.84,2.0,3.92,4,1,1603,0,1,3,4
다음 소희,트윈플러스파트너스(주),2023,2,562.0,9822.9453125,드라마,15세이상관람가,8.72,6.5,7.61,2,1,1557,3,4,3,2
이니셰린의 밴시,월트디즈니컴퍼니코리아 유한책임회사,2023,3,135.0,14473.5244140625,드라마,15세이상관람가,8.3,8.1,8.2,2,1,1643,0,1,3,2
아바타: 물의 길,월트디즈니컴퍼니코리아 유한책임회사,2022,12,63.0,36497.5859375,액션,12세이상관람가,8.83,7.67,8.25,1,0,1806,3,4,3,1
귀를 기울이면,(주)팝엔터테인먼트,2023,4,123.0,165.72727966308594,멜로/로맨스,전체관람가,9.12,7.0,8.059999999999999,3,2,174,0,1,1,3
카운트,(주)씨제이이엔엠,2023,2,946.0,9822.9453125,드라마,12세이상관람가,7.777657657657658,5.33,6.553828828828829,2,0,1557,3,4,3,2
더 웨일,(주)스튜디오디에이치엘,2023,3,203.0,14473.5244140625,드라마,15세이상관람가,8.25,6.5,7.375,2,1,1643,0,1,3,2
콜드플레이 뮤직 오브 더 스피어스: 라이브 앳 리버 플레이트,씨제이포디플렉스 주식회사,2023,4,74.0,2109.041748046875,공연,전체관람가,9.33,6.1175,7.72375,14,2,1099,0,1,2,14
라스트 필름 쇼,"주식회사 블루필름웍스,(주)버킷스튜디오",2023,4,36.0,8813.1640625,드라마,전체관람가,8.07,6.0,7.035,2,2,1537,0,1,3,2
물안에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2023,4,61.0,8813.1640625,드라마,12세이상관람가,6.97,7.25,7.109999999999999,2,0,1537,0,1,3,2
뮤턴트 이스케이프,주식회사 제이씨엔터웍스,2023,4,116.0,269801.28125,액션,15세이상관람가,4.95,3.5,4.225,1,1,1998,0,1,3,1
똑똑똑,유니버설픽쳐스인터내셔널 코리아(유),2023,3,472.0,1548.75,미스터리,15세이상관람가,6.05,5.75,5.9,9,1,1002,0,1,2,9
대외비,플러스엠 엔터테인먼트,2023,3,63.0,110387.0,범죄,15세이상관람가,6.15,5.0,5.575,4,1,1932,0,1,3,4
사랑의 고고학,(주)엣나인필름,2023,4,42.0,8813.1640625,드라마,15세이상관람가,6.82,6.67,6.745,2,1,1537,0,1,3,2
샷건 웨딩,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023,3,126.0,26405.654296875,액션,15세이상관람가,6.574032258064515,4.0,5.287016129032258,1,1,1761,0,1,3,1
탄생,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022,11,670.0,98366.2890625,드라마,12세이상관람가,8.15,6.56,7.355,2,0,1919,2,3,3,2
피기,해피송,2023,4,69.0,46486.28515625,스릴러,15세이상관람가,6.1325,5.0,5.56625,7,1,1853,0,1,3,7
제비,(주)시네마달,2023,4,28.0,8813.1640625,드라마,15세이상관람가,7.637666666666667,5.5,6.568833333333334,2,1,1537,0,1,3,2
꼬마돼지 베이브의 바다 대모험,(주)박수엔터테인먼트,2023,3,319.0,17394.171875,애니메이션,전체관람가,4.0,6.430892857142857,5.215446428571429,0,2,1683,0,1,3,0
영웅,(주)씨제이이엔엠,2022,12,63.0,686.6063232421875,드라마,12세이상관람가,8.4,6.91,7.655,2,0,645,3,4,2,2
애프터썬,"그린나래미디어(주),(주)영화사 안다미로",2023,2,64.0,9822.9453125,드라마,12세이상관람가,8.5,8.5,8.5,2,0,1557,3,4,3,2
두다다쿵: 후후섬의 비밀,(주)넥스트엔터테인먼트월드(NEW),2023,2,514.0,18093.880859375,애니메이션,전체관람가,8.17,6.0,7.085,0,2,1697,3,4,3,0
여덟 번째 감각,"(주)플레이그램,(주)영화특별시에스엠씨",2023,3,80.0,2297.315673828125,멜로/로맨스,15세이상관람가,8.82,7.0,7.91,3,1,1128,0,1,2,3
찬란한 나의 복수,영화배급협동조합 씨네소파,2023,3,59.0,14473.5244140625,드라마,15세이상관람가,8.38,5.0,6.69,2,1,1643,0,1,3,2
상견니,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)",2023,1,699.0,16271.34375,드라마,15세이상관람가,7.58,5.25,6.415,2,1,1671,3,4,3,2
흐르다,M&M 인터내셔널,2023,3,43.0,14473.5244140625,드라마,12세이상관람가,0.0,7.5,3.75,2,0,1643,0,1,3,2
모나리자와 블러드 문,판씨네마(주),2023,3,369.0,129.0,판타지,15세이상관람가,7.01,5.2,6.105,10,1,134,0,1,1,10
자전거 도둑,일미디어,2023,4,32.0,8813.1640625,드라마,12세이상관람가,7.637666666666667,10.0,8.818833333333334,2,0,1537,0,1,3,2
TAR 타르,유니버설픽쳐스인터내셔널 코리아(유),2023,2,197.0,9822.9453125,드라마,15세이상관람가,7.81,7.38,7.595,2,1,1557,3,4,3,2
낭만적 공장,(주)영화사오원,2023,4,27.0,165.72727966308594,멜로/로맨스,15세이상관람가,7.0,4.67,5.835,3,1,174,0,1,1,3
여섯 개의 밤,㈜인디스토리,2023,3,34.0,14473.5244140625,드라마,12세이상관람가,8.09,5.75,6.92,2,0,1643,0,1,3,2
오늘 출가합니다,(주)트리플픽쳐스,2023,4,20.0,902.0,드라마,12세이상관람가,7.2,6.33,6.765000000000001,2,0,804,0,1,2,2
플레인,(주)누리픽쳐스,2023,3,358.0,901.0,액션,15세이상관람가,7.67,4.67,6.17,1,1,803,0,1,2,1
보이지 않아,(주)무비다이브,2023,4,29.0,892.0,드라마,12세이상관람가,8.4,5.0,6.7,2,0,794,0,1,2,2
불멸의 여자,"(주)드림팩트엔터테인먼트,(주)아크메",2023,4,22.0,880.0,드라마,15세이상관람가,8.08,5.5,6.79,2,1,786,0,1,2,2
서치 2,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,2,868.0,862.0,미스터리,12세이상관람가,8.26,6.5,7.38,9,0,776,3,4,2,9
프로메어,(주)영화사 그램,2022,10,63.0,830.0,애니메이션,15세이상관람가,8.61,6.0,7.305,0,1,754,2,3,2,0
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022,9,16.0,748.0,애니메이션,전체관람가,8.113118279569893,5.805714285714285,6.9594162826420884,0,2,695,2,3,2,0
치치핑핑의 쿵쿵따 탐험대,(주)에픽캔,2023,4,4.0,730.0,공연,전체관람가,6.092499999999999,6.1175,6.1049999999999995,14,2,681,0,1,2,14
캐리 러브콘서트 케이팝,씨제이 씨지브이(CJ CGV)(주),2023,4,27.0,690.0,공연,전체관람가,0.0,6.1175,3.05875,14,2,648,0,1,2,14
나의 연인에게,(주)까멜리아이엔티,2023,3,27.0,684.0,드라마,15세이상관람가,6.4,6.33,6.365,2,1,641,0,1,2,2
그대 어이가리,(주)영화사 순수,2023,3,82.0,666.0,드라마,12세이상관람가,9.43,6.0,7.715,2,0,625,0,1,2,2
어떤 영웅,(주)영화사 진진,2023,3,38.0,623.0,드라마,12세이상관람가,7.99,6.4,7.195,2,0,590,0,1,2,2
콜 제인,"(주)누리픽쳐스,(주)영화특별시에스엠씨",2023,3,70.0,600.0,드라마,12세이상관람가,8.02,6.0,7.01,2,0,573,0,1,2,2
"블루 서멀, 같은 하늘을 보고 싶어",(주)박수엔터테인먼트,2023,3,62.0,591.0,애니메이션,전체관람가,7.0,5.0,6.0,0,2,565,0,1,2,0
바빌론,롯데컬처웍스(주)롯데엔터테인먼트,2023,2,852.0,519.0,드라마,청소년관람불가,8.4,6.86,7.630000000000001,2,3,515,3,4,2,2
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022,10,620.0,514.0,액션,15세이상관람가,8.8,8.43,8.615,1,1,511,2,3,2,1
6번 칸,"(주)싸이더스,스튜디오 에이드",2023,3,41.0,477.0,드라마,15세이상관람가,8.42,7.17,7.795,2,1,477,0,1,2,2
장화신은 고양이: 끝내주는 모험,유니버설픽쳐스인터내셔널 코리아(유),2023,1,924.0,433.0,애니메이션,전체관람가,8.39,6.0,7.195,0,2,436,3,4,2,0
차별,(주)디오시네마,2023,3,24.0,424.0,다큐멘터리,전체관람가,7.59,5.33,6.46,8,2,427,0,1,2,8
튤립 모양,(주)삼거리픽쳐스,2023,4,31.0,423.0,드라마,12세이상관람가,8.11,7.0,7.555,2,0,426,0,1,2,2
밥만 잘 사주는 이상한 이사님 극장판,헤븐리 주식회사,2023,4,18.0,398.0,드라마,15세이상관람가,7.5,6.248609271523178,6.87430463576159,2,1,402,0,1,2,2
샤잠! 신들의 분노,워너브러더스 코리아(주),2023,3,799.0,397.0,액션,12세이상관람가,6.94,4.33,5.635,1,0,401,0,1,2,1
2퍼센트,시네마 뉴원,2023,4,8.0,361.0,드라마,12세이상관람가,8.22,2.0,5.11,2,0,366,0,1,2,2
메탈리카: 72 시즌스,씨제이포디플렉스 주식회사,2023,4,17.0,337.0,공연,12세이상관람가,0.0,6.1175,3.05875,14,0,344,0,1,2,14
헤어질 결심,(주)씨제이이엔엠,2022,6,63.0,278.0,미스터리,15세이상관람가,8.98,8.73,8.855,9,1,285,1,2,2,9
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,와이드 릴리즈(주),2023,2,284.0,274.0,애니메이션,전체관람가,4.9,5.6765384615384615,5.288269230769231,0,2,281,3,4,2,0
사쿠라,(주)미디어캐슬,2023,4,4.0,219.0,드라마,15세이상관람가,7.637666666666667,8.5,8.068833333333334,2,1,227,0,1,1,2
하룻밤,(주)미디어캐슬,2023,4,4.0,208.0,드라마,15세이상관람가,7.637666666666667,5.0,6.318833333333334,2,1,216,0,1,1,2
살룸의 하이에나,씨네라인월드(주),2023,4,5.0,199.0,액션,15세이상관람가,3.5,7.0,5.25,1,1,208,0,1,1,1
롱 플레이스,(주)스튜디오디에이치엘,2023,4,20.0,188.0,액션,15세이상관람가,5.77375,4.0,4.886875,1,1,196,0,1,1,1
천개의 별 이야기 더 시리즈,스튜디오엘론(주),2023,4,18.0,185.0,드라마,12세이상관람가,10.0,6.248609271523178,8.12430463576159,2,0,194,0,1,1,2
나의 이웃 히틀러,주식회사 루믹스미디어,2023,3,5.0,158.0,코미디,12세이상관람가,9.04,4.3133333333333335,6.676666666666666,6,0,164,0,1,1,6
틸,유니버설픽쳐스인터내셔널 코리아(유),2023,3,122.0,138.0,드라마,12세이상관람가,7.43,6.0,6.715,2,0,143,0,1,1,2
앤트맨과 와스프: 퀀텀매니아,월트디즈니컴퍼니코리아 유한책임회사,2023,2,63.0,131.0,액션,12세이상관람가,6.81,5.0,5.904999999999999,1,0,136,3,4,1,1
스톰 보이,주식회사 블루필름웍스,2023,2,44.0,130.0,가족,전체관람가,7.14,6.0,6.57,11,2,135,3,4,1,11
포커페이스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023,3,51.0,104.0,범죄,15세이상관람가,4.27,3.5,3.885,4,1,107,0,1,1,4
라스트 버스,주식회사 블루필름웍스,2023,2,27.0,91.0,드라마,12세이상관람가,7.92,5.0,6.46,2,0,94,3,4,1,2
겨울 이야기,"와이드 릴리즈(주),시네마 뉴원",2023,1,22.0,74.0,드라마,전체관람가,7.71,4.5,6.105,2,2,77,3,4,1,2
원피스 필름 레드,(주)넥스트엔터테인먼트월드(NEW),2022,11,550.0,65.0,애니메이션,12세이상관람가,6.86,6.0,6.43,0,0,67,2,3,1,0
마루이 비디오,"씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",2023,2,284.0,63.0,미스터리,15세이상관람가,6.2,5.33,5.765000000000001,9,1,65,3,4,1,9
솔라 플라워,(주)스토리제이,2023,4,5.0,52.0,멜로/로맨스,15세이상관람가,6.06,5.56375,5.811875,3,1,52,0,1,1,3
유령,(주)씨제이이엔엠,2023,1,63.0,48.0,액션,15세이상관람가,6.87,6.25,6.5600000000000005,1,1,48,3,4,1,1
팔로우드,(주)영화사오원,2023,3,51.0,44.0,공포(호러),15세이상관람가,5.6,1.0,3.3,5,1,44,0,1,1,5
이태석,"THE 픽쳐스,주식회사 블루필름웍스",2022,12,100.0,36.0,다큐멘터리,전체관람가,9.29,4.0,6.645,8,2,36,3,4,1,8
피터 본 칸트,(주)드림팩트엔터테인먼트,2023,2,29.0,34.0,멜로/로맨스,15세이상관람가,7.44,7.0,7.220000000000001,3,1,34,3,4,1,3
도희야,(주)씨맥스커뮤니케이션즈,2023,4,5.0,32.0,성인물(에로),청소년관람불가,7.35,6.13,6.74,19,3,32,0,1,1,19
블라스트: 폭탄제거반,주식회사 풍경소리,2023,3,5.0,32.0,액션,12세이상관람가,4.0,5.718909090909091,4.859454545454545,1,0,32,0,1,1,1
"안녕, 소중한 사람",(주)티캐스트,2023,2,37.0,22.0,드라마,15세이상관람가,7.88,6.75,7.3149999999999995,2,1,22,3,4,1,2
나는 마을 방과후 교사입니다,(주)스튜디오그레인풀,2023,1,23.0,20.0,다큐멘터리,전체관람가,8.81,6.75,7.78,8,2,20,3,4,1,8
어쩌면 우린 헤어졌는지 모른다,(주)영화특별시에스엠씨,2023,2,333.0,18.0,드라마,12세이상관람가,7.97,5.5,6.734999999999999,2,0,18,3,4,1,2
탑,"(주)영화제작전원사 ,(주)콘텐츠판다",2022,11,57.0,13.0,드라마,15세이상관람가,7.806105263157895,8.5,8.153052631578948,2,1,12,2,3,1,2
컨버세이션,필름다빈,2023,2,21.0,12.0,기타,12세이상관람가,7.169999999999999,7.0,7.084999999999999,16,0,11,3,4,1,16
